secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
2,2012/6/9,22:11:58,550.00,11406.98,22.07,27.40,101363,23.99,0,1,0,0,0,13,32,240,0.05,0.12,0.94,-3.00,-369.00,-253.00,269.53
3,2012/6/9,22:11:59,549.00,11362.22,22.15,27.40,101361,24.74,0,0,0,0,0,14,31,239,0.05,0.12,0.93,-6.00,-373.00,-253.00,269.08
4,2012/6/9,22:12:00,550.00,11406.98,22.07,27.40,101360,24.24,0,0,0,0,0,15,33,238,0.06,0.13,0.93,-6.00,-374.00,-255.00,269.08
5,2012/6/9,22:12:01,550.00,11406.98,22.07,27.40,101357,24.41,0,0,0,0,0,13,33,241,0.05,0.13,0.94,-6.00,-373.00,-256.00,269.08
6,2012/6/9,22:12:02,551.00,11451.93,21.98,27.40,101366,23.91,0,0,0,0,0,13,32,239,0.05,0.12,0.93,-6.00,-374.00,-255.00,269.08
7,2012/6/9,22:12:03,550.00,11406.98,22.07,27.40,101359,24.16,0,0,0,0,0,14,33,238,0.05,0.13,0.93,-6.00,-371.00,-254.00,269.07
8,2012/6/9,22:12:04,552.00,11497.07,21.89,27.40,101363,23.83,0,0,0,0,0,13,32,241,0.05,0.12,0.94,-6.00,-370.00,-253.00,269.07
9,2012/6/9,22:12:05,551.00,11451.93,21.98,27.40,101363,24.24,0,0,0,0,0,14,32,239,0.05,0.12,0.93,-6.00,-371.00,-253.00,269.07
10,2012/6/9,22:12:06,549.00,11362.22,22.15,27.40,101370,24.41,0,0,0,0,0,13,32,241,0.05,0.12,0.94,-6.00,-374.00,-255.00,269.08
11,2012/6/9,22:12:07,551.00,11451.93,21.98,27.40,101362,24.33,0,0,0,0,0,13,32,239,0.05,0.12,0.93,-5.00,-375.00,-256.00,269.24
12,2012/6/9,22:12:08,550.00,11406.98,22.07,27.40,101359,24.16,0,0,1,0,1,13,33,241,0.05,0.13,0.94,-3.00,-373.00,-256.00,269.54
13,2012/6/9,22:12:09,550.00,11406.98,22.07,27.40,101369,23.66,0,1,0,0,0,14,32,239,0.05,0.12,0.93,-5.00,-371.00,-255.00,269.23
14,2012/6/9,22:12:10,550.00,11406.98,22.07,27.40,101364,23.66,0,0,0,0,0,13,32,240,0.05,0.12,0.94,-6.00,-371.00,-253.00,269.07
15,2012/6/9,22:12:11,550.00,11406.98,22.07,27.40,101358,24.41,0,0,0,0,0,12,33,239,0.05,0.13,0.93,-6.00,-373.00,-253.00,269.08
16,2012/6/9,22:12:12,550.00,11406.98,22.07,27.40,101361,24.49,0,0,0,0,0,14,33,240,0.05,0.13,0.94,-6.00,-373.00,-255.00,269.08
17,2012/6/9,22:12:13,550.00,11406.98,22.07,27.40,101366,24.08,0,0,0,0,0,14,32,241,0.05,0.12,0.94,-6.00,-376.00,-255.00,269.09
18,2012/6/9,22:12:14,550.00,11406.98,22.07,27.40,101361,23.99,0,0,0,0,0,13,33,240,0.05,0.13,0.94,-6.00,-375.00,-256.00,269.08
19,2012/6/9,22:12:15,551.00,11451.93,21.98,27.40,101361,23.91,0,0,0,0,0,14,32,239,0.05,0.12,0.93,-6.00,-374.00,-255.00,269.08
20,2012/6/9,22:12:16,550.00,11406.98,22.07,27.40,101366,23.83,0,0,0,0,0,14,32,239,0.05,0.12,0.93,-6.00,-371.00,-254.00,269.07
21,2012/6/9,22:12:17,550.00,11406.98,22.07,27.40,101360,23.91,0,0,0,0,0,11,31,239,0.04,0.12,0.93,-6.00,-372.00,-253.00,269.08
22,2012/6/9,22:12:18,550.00,11406.98,22.07,27.40,101360,24.49,0,0,0,0,0,15,32,239,0.06,0.12,0.93,-6.00,-373.00,-254.00,269.08
23,2012/6/9,22:12:19,551.00,11451.93,21.98,27.40,101354,24.08,0,1,0,0,0,13,32,240,0.05,0.12,0.94,-6.00,-375.00,-255.00,269.08
24,2012/6/9,22:12:20,551.00,11451.93,21.98,27.40,101361,23.91,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-5.00,-374.00,-256.00,269.23
25,2012/6/9,22:12:21,551.00,11451.93,21.98,27.40,101351,24.41,0,0,0,0,0,13,34,239,0.05,0.13,0.93,-5.00,-373.00,-256.00,269.23
26,2012/6/9,22:12:22,551.00,11451.93,21.98,27.40,101351,23.83,0,0,0,0,0,14,32,241,0.05,0.12,0.94,-5.00,-372.00,-254.00,269.23
27,2012/6/9,22:12:23,551.00,11451.93,21.98,27.40,101356,24.49,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-6.00,-371.00,-253.00,269.07
28,2012/6/9,22:12:24,550.00,11406.98,22.07,27.40,101365,24.49,0,0,0,0,0,14,32,240,0.05,0.12,0.94,-6.00,-371.00,-252.00,269.07
29,2012/6/9,22:12:25,550.00,11406.98,22.07,27.40,101359,24.33,0,0,0,0,0,13,31,240,0.05,0.12,0.94,-6.00,-372.00,-254.00,269.08
30,2012/6/9,22:12:26,551.00,11451.93,21.98,27.40,101364,24.24,0,0,0,0,0,14,31,239,0.05,0.12,0.93,-6.00,-375.00,-255.00,269.08
31,2012/6/9,22:12:27,551.00,11451.93,21.98,27.40,101359,23.99,0,0,0,0,1,13,32,241,0.05,0.12,0.94,-5.00,-376.00,-255.00,269.24
32,2012/6/9,22:12:28,551.00,11451.93,21.98,27.40,101360,23.66,0,0,0,0,0,13,34,242,0.05,0.13,0.94,-6.00,-375.00,-256.00,269.08
33,2012/6/9,22:12:29,550.00,11406.98,22.07,27.40,101360,24.66,0,1,0,0,0,14,32,242,0.05,0.12,0.94,-5.00,-373.00,-255.00,269.23
